all_products_href,product_title,product_rating_points,product_ratings,product_price,product_images_src,product_styles,product_description,reviews,reviewer_name,review_title,review_rating,reviewer_country_date,purchased_product,review_status,review_body,review_helpfulness
,,,,,,,,,,,,,,,,
https://www.amazon.com/Safety-Trainer-Black-Size-9/dp/9792304665/ref=sr_1_4963?qid=1706933293&s=apparel&sr=1-4963,Safety Trainer Black Size 9,,,$59.12 ,,,,,,,,,,,,
https://www.amazon.com/Millionaer-BIBI-TINA-24/dp/B00004ZYD0/ref=sr_1_4960?qid=1706933293&s=apparel&sr=1-4960,Der Millionaer,1,4 ratings,$2.29 ,,,,,,,,,,,,
https://www.amazon.com/Millionaer-BIBI-TINA-24/dp/B00004ZYD0/ref=sr_1_4960?qid=1706933293&s=apparel&sr=1-4960,Der Millionaer,1,4 ratings,$2.29 ,,,,"1.0 out of 5 stars







  
  
    Terrible product",daviti2211,Terrible product,1.0 out of 5 stars,"Reviewed in the United States on April 1, 2019",,Verified Purchase,Terrible product,
https://www.amazon.com/Millionaer-BIBI-TINA-24/dp/B00004ZYD0/ref=sr_1_4960?qid=1706933293&s=apparel&sr=1-4960,Der Millionaer,1,4 ratings,$2.29 ,,,,"1.0 out of 5 stars







  
    Estafa",Kurt Hans,Estafa,1.0 out of 5 stars,"Reviewed in the United States on April 19, 2019",,Verified Purchase,Vendían zapatos new balance y eran cassettes viejo,
https://www.amazon.com/Aetrex-Mens-Z590M-Runner-Black/dp/B00171GPLO/ref=sr_1_4959?qid=1706933293&s=apparel&sr=1-4959,Aetrex Men's Z590M Web Running Shoe,,,,https://m.media-amazon.com/images/I/91pgv-rw-1S._AC_SX679_.jpg,,"100% Mesh and synthetic     Customizable Mozaic insole     Web Suspension footbridge for reinforcement and support     Sky and PRS midsole for soft, long-lasting cushioning and pressure relief     Supportive cushioning for medium- and high-arch foot     Supportive cushioning for medium- and high-arch foot",,,,,,,,,
https://www.amazon.com/APEX-LEGENDS-V751mm065-Hiking-Brown/dp/B00171GUF0/ref=sr_1_4958?qid=1706933293&s=apparel&sr=1-4958,Apex Unisex-Adult V751MM065 Hiking Shoe,,,$82.62 ,https://m.media-amazon.com/images/I/81HFqQGbiEL._AC_SY575_.jpg,,,,,,,,,,,
https://www.amazon.com/Apex-X826M-Mens-Athletic-White/dp/B00172NVIS/ref=sr_1_4957?qid=1706933293&s=apparel&sr=1-4957,Apex Men's,,,$32.95 ,https://m.media-amazon.com/images/I/51i2J5E4dJL._AC_SX575_.jpg,,,,,,,,,,,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,,,,,,,,,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"5.0 out of 5 stars







  
    Five Stars",margarita,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on July 9, 2018",Size: 8.5Color: College Navy/Black-game Royal,,me hace falta el 8 porfavor,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"5.0 out of 5 stars







  
  
    Five Stars",Tracey,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on November 30, 2017",,Verified Purchase,Everything,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"1.0 out of 5 stars







  
  
    Not accurate fitting",natasha sakool,Not accurate fitting,1.0 out of 5 stars,"Reviewed in the United States on July 17, 2019",,Verified Purchase,Fit was too small. Need to buy a half size bigger than your normal size.,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"1.0 out of 5 stars







  
  
    FAKE!!! They are fake! I require ...",Y Kwok,FAKE!!! They are fake! I require ...,1.0 out of 5 stars,"Reviewed in the United States on November 29, 2017",,Verified Purchase,"FAKE!!!
They are fake! I require a return two weeks ago and never got my money back! If you want a $160 plastic shoes, go ahead.",3 people found this helpful
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"5.0 out of 5 stars







  
  
    Vapormax- The King of Sports shoes",Amazon Customer,Vapormax- The King of Sports shoes,5.0 out of 5 stars,"Reviewed in the United States on October 23, 2017",,Verified Purchase,"Great shoes
My third pair - black, platinum, navy

Top Notch",
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"4.0 out of 5 stars







  
    Tenis",Supermanjay21,Tenis,4.0 out of 5 stars,"Reviewed in the United States on April 22, 2019",,Verified Purchase,Muy cómodo,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"4.0 out of 5 stars







  
  
    nike air",derrick,nike air,4.0 out of 5 stars,"Reviewed in the United States on June 23, 2021",,Verified Purchase,fits nice,
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"5.0 out of 5 stars







  
  
    Five Stars",Victor Cambronero,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on October 28, 2017",,Verified Purchase,"Best shoes ever, very comfortable very happy with purchase ??",One person found this helpful
https://www.amazon.com/Nike-Air-Vapormax-Flyknit-849558/dp/B001IKJOT4/ref=sr_1_4956?qid=1706933293&s=apparel&sr=1-4956,Nike False,3.9,27 ratings,,https://m.media-amazon.com/images/I/71QGg-X6LlL._AC_SX575_.jpg,,,"5.0 out of 5 stars







  
  
    Five Stars",SHOOTERNTX,Five Stars,5.0 out of 5 stars,"Reviewed in the United States on November 12, 2017",,Verified Purchase,It’s a great shoe. It fit my foot but for me the heal slipped and rubbed.,2 people found this helpful
