all_products_href,product_title,product_rating_points,product_ratings,product_price,product_images_src,product_styles,product_description,reviews,reviewer_name,review_title,review_rating,reviewer_country_date,purchased_product,review_status,review_body,review_helpfulness
,,,,,,,,,,,,,,,,
https://www.amazon.com/Womens-Jackets-Graphic-Colorblock-Shoulder/dp/B0BQ2KDDNS/ref=sr_1_19207?qid=1707044374&s=apparel&sr=1-19207,"Women's Jackets Letter Graphic Colorblock Drop Shoulder Jacket Jackets Coat (Color : Royal Blue, Size : Small)",,,,,,"Soft and comfortable, suitable for easy daily wear. This jacket has a thick lining. It is soft and comfortable to wear.     Suitable for family, party, vacation, vacation, travel, seaside, daily wear, street, bar, leisure, picnic, shopping, dating, school, travel and work.     Before ordering, please check your size to ensure that the product is suitable for you.     It is recommended not to bleach/hang or dry the clothes, which will increase the durability of the clothes.     If you have any questions, suggestions or concerns, please feel free to contact us. Thank you for your support.",,,,,,,,,
https://www.amazon.com/SaoJeYi-DG-Collar-Zipper-Fashion-Pockets/dp/B0BQ2KP8VX/ref=sr_1_19206?qid=1707044374&s=apparel&sr=1-19206,SaoJeYi-DG Women Stand Collar Zipper Jacket Belted Fleece Lined Warm Casual Fashion Coat with Pockets,,,,https://m.media-amazon.com/images/I/61fCJyQJybL._AC_SX569_.jpg,,,,,,,,,,,
https://www.amazon.com/MyLantu-Womens-Jackets-Shoulder-Quilted/dp/B0BQ2LX7PJ/ref=sr_1_19205?qid=1707044374&s=apparel&sr=1-19205,"MyLantu Women's Jackets Snap Button Up Drop Shoulder Belted Quilted Coat Jackets (Color : White, Size : XX-Large)",,,,,"X-Large    
               
                                     1 option from $36.62               
   
       
      
                          
                    
    
        XX-Large    
               
                                          1 option from $36.62","Super Soft, Cozy and Comfortable to Wear.     OCCASION: Classic design jackets for spring, fall and cold winter, perfect for casual wear, business, dates and parties or outdoor activities like hiking, picnicking, jogging, cycling, golf, traveling and so on.     A unique combination of performance and style that will make sure that you are fully protected from any weather conditions.     See item description below for size details. Please check your size before ordering to make sure the product will fit.",,,,,,,,,
https://www.amazon.com/MyLantu-Womens-Jackets-Zipper-Hooded/dp/B0BQ2LYNZC/ref=sr_1_19204?qid=1707044374&s=apparel&sr=1-19204,"MyLantu Women's Jackets Zipper Front Hooded Winter Coat Jackets (Color : Gray, Size : 4X-Large)",,,,,"XX-Large    
               
             
   
       
      
                          
                    
    
        3X-Large    
               
             
   
       
      
                          
                    
    
        4X-Large","Super Soft, Cozy and Comfortable to Wear.     OCCASION: Classic design jackets for spring, fall and cold winter, perfect for casual wear, business, dates and parties or outdoor activities like hiking, picnicking, jogging, cycling, golf, traveling and so on.     A unique combination of performance and style that will make sure that you are fully protected from any weather conditions.     See item description below for size details. Please check your size before ordering to make sure the product will fit.",,,,,,,,,
https://www.amazon.com/JLEJIANI-Jackets-Decorative-Pocket-Button/dp/B0BQ2M7MSL/ref=sr_1_19203?qid=1707044374&s=apparel&sr=1-19203,"JLEJIANI Jackets for Women Decorative Pocket Button Front Jacket Jackets for Women (Color : Khaki, Size : Medium)",,,,,"Medium    
               
                                          1 option from $48.15               
   
       
                          
                    
    
        X-Large    
               
                                     1 option from $48.15","Comfortable fit, easy to move     MAKE EVERY DAY BETTER: We listen to our customers' feedback and fine-tune every detail to ensure quality, fit and comfort     Matching: Fashionable and versatile, can be matched with different styles such as jeans, leggings, sweatpants, shorts, skirts, sneakers, boots, etc.     Occasion: Great for everyday wear, outdoor activities, shopping, clubs, parties, dates and travel in autumn and winter, also a great gift for family or friends",,,,,,,,,
https://www.amazon.com/YZYEE-Jackets-Women-Shoulder-Drawstring/dp/B0BQ2M8QNB/ref=sr_1_19202?qid=1707044374&s=apparel&sr=1-19202,"YZYEE Jackets for Women - Drop Shoulder Drawstring Hem Zipper Puffer Coat (Color : Black, Size : Small)",,,,,,Jackets for women     Jackets,,,,,,,,,
https://www.amazon.com/MyLantu-Womens-Jackets-Velvet-Puffer/dp/B0BQ2MBYY5/ref=sr_1_19201?qid=1707044374&s=apparel&sr=1-19201,"MyLantu Women's Jackets Zip Front Velvet Puffer Coat Jackets (Color : Lilac Purple, Size : Large)",,,,,"X-Small    
               
                                     1 option from $80.73               
   
       
      
                          
                    
    
        Small    
               
                                     1 option from $80.73               
   
       
      
                          
                    
    
        Medium    
               
                                     1 option from $80.73               
   
       
      
                          
                    
    
        Large    
               
                                          1 option from $80.73","Velvet     Country as Labeled     Super Soft, Cozy and Comfortable to Wear.     OCCASION: Classic design jackets for spring, fall and cold winter, perfect for casual wear, business, dates and parties or outdoor activities like hiking, picnicking, jogging, cycling, golf, traveling and so on.     A unique combination of performance and style that will make sure that you are fully protected from any weather conditions.     See item description below for size details. Please check your size before ordering to make sure the product will fit.",,,,,,,,,
https://www.amazon.com/MyLantu-Womens-Jackets-Button-Puffer/dp/B0BQ2MC1RY/ref=sr_1_19200?qid=1707044374&s=apparel&sr=1-19200,"MyLantu Women's Jackets Zip Up Snap Button Puffer Coat Jackets (Color : Brown, Size : X-Small)",,,,,,"Super Soft, Cozy and Comfortable to Wear.     OCCASION: Classic design jackets for spring, fall and cold winter, perfect for casual wear, business, dates and parties or outdoor activities like hiking, picnicking, jogging, cycling, golf, traveling and so on.     A unique combination of performance and style that will make sure that you are fully protected from any weather conditions.     See item description below for size details. Please check your size before ordering to make sure the product will fit.",,,,,,,,,
https://www.amazon.com/MyLantu-Womens-Jackets-Button-Quilted/dp/B0BQ2MFKW5/ref=sr_1_19199?qid=1707044374&s=apparel&sr=1-19199,"MyLantu Women's Jackets Solid Button Up Quilted Coat Jackets (Color : Black, Size : Large)",,,,,"Small    
               
                                     1 option from $44.40               
   
       
      
                          
                    
    
        Medium    
               
                                     1 option from $44.40               
   
       
      
                          
                    
    
        Large    
               
                                          1 option from $44.40               
   
       
                          
                    
    
        X-Large    
               
                                     1 option from $44.40","Super Soft, Cozy and Comfortable to Wear.     OCCASION: Classic design jackets for spring, fall and cold winter, perfect for casual wear, business, dates and parties or outdoor activities like hiking, picnicking, jogging, cycling, golf, traveling and so on.     A unique combination of performance and style that will make sure that you are fully protected from any weather conditions.     See item description below for size details. Please check your size before ordering to make sure the product will fit.",,,,,,,,,
