input,output
"I bought the A1500 based on the Compaq name and the excellent results I`ve had with their other products, however I started having problems immediatly, it just would not work. When I called Tech support, I was informed that it was not campatible with my operating system. When I pointed out I was using Win 98se on a Compaq comupter they tried to help. I was able to finally get it installed after being on the phone with Tech Support for almost 2 hours. It worked for one day then quit printing. When I again called Tech Support and spent another hour on the phone the printer finally started working but the Scanner quit. As I was buying a second computer with Win XP I asked if it would be compatible and was assured that it was.
When I was ready to install the A1500 on the new computer, I called Tech Support and they taslked me through the whole process. Not only would it not install it crashed my system and I had to do a full restore.
As I waited to long to return it, it is now seating on a shelf collecting dust until I can find someone who will take it off my hands. In the mean time I`m still looking for a good multifunction that will work as advertised.
I would not recommend the A1500 to anyone who does not have money and time to waste.","['base compaq', 'excellent result ve product', 'tech support', 'system point', 'se compaq comupter', 'instal phone tech support hour work day', 'tech support', 'hour phone printer', 'work scanner', 'ready install', 'new computer', 'tech support taslke process install crash system restore', 'return seat shelf', 'time look good multifunction work advertise', 'money time waste']"
"The A1500 was the first multifunctional I've used.  I purchase one in 2001 for about $100. Overall, it was a decent machine before it began to die.

It takes two ink cartridges, Lexmark black-12A1970 ($25-$32) and Lexmark color-12A1985 ($29-$39).  The ink seemed to last for a good while.  However, if you don't use the cartridges in a while, the ink will dry up (this is what happened to my color cartridge a few times).

When I first purchased it, I thought the design was great, but as I needed copies and scans of different items, I changed my mind.  The copier/scanner is operated via a feeder instead of being a flatbed.  I couldn't scan a page from a book or magazine (unless I wanted to rip out the page and feed it to the machine).  It was also somewhat difficult to make copies of smaller items such as cards, IDs or pictures, even with the protective sleeve that is included with this model.

Before Compaq was bought out by HP, there was Compaq Customer Communities where consumers could post questions and give answers to one another (I had an alignment problem with this unit that was easily solved by a visit to Customer Communities).  Unfortunately, HP removed the community.  I guess it's a good thing I got the 3 year warranty from Circuit City.  After about a year and a half, the scanner and copier started to act up.  I would no longer get clean scans/copies, and it would use two 8.5"" x 11"""" pages to copy a single document with the same dimensions.  Customer Service couldn't help with the problem","['multifunctional purchase overall', 'decent machine', 'ink cartridge lexmark', 'black lexmark color ink good use cartridge ink dry', 'color cartridge time purchase', 'great need copy scan', 'different item', 'mind copi scanner', 'scan page book magazine', 'rip page feed machine', 'difficult copy', 'small item card id picture', 'protective sleeve', 'model compaq', 'hp compaq customer communities consumer post question', 'alignment problem unit', 'visit customer communities', 'community guess', 'good thing', 'year warranty circuit city year', 'scanner copi', 'long clean scan copy use page copy single document dimension customer service']"
"After having been impressed with the ASUS EeePC 901 for the last year, I decided to buy a bigger ASUS laptop as a gift for one of my kids. I ended up getting the F80Q-X2AM because it's bigger than a netbook but it's not really big. The 14.1 inch screen and full sized keyboard are just what I was looking for. This laptop has everything you could want: DVD player, webcam, big hard drive, lots of RAM, memory card reader, wireless network card, bluetooth, decent carrying case.  Good stuff. On top of that, the 2-year warranty, accidental damage protection, and spill-proof keyboard are really nice, especially for a laptop going to a young kid.

The only thing I don't like about this laptop is the operating system. Windows Vista is for the birds, and I'm not just saying that. I've had bad experiences with Vista in the past, so I'm biased negatively with respect to Vista. On the other hand, I used to work at Microsoft and I like the company a lot. But when it takes 3 hours to get connected to a wireless network, you know you're using a crummy operating sytem. Specifically, I encountered the infamous ""unidentified network"""" problem which millions of others have likely experienced over the last couple of years with Vista. Although there's seemingly no sure fire way to fix the problem","['impress asus eeepc year', 'big asus laptop gift kid end', 'big netbook', 'big inch screen', 'keyboard look laptop', 'dvd player webcam', 'big hard drive lot ram memory card reader wireless network card bluetooth', 'case good stuff year warranty accidental damage protection spill proof keyboard', 'young kid thing', 'system windows vista bird', 'bad experience vista past bias', 'respect vista hand work microsoft', 'company lot', 'wireless network', 'encounter infamous', 'network problem', 'likely experience couple year vista', 'sure fire way fix problem']"
"I bought this notebook based on it's great specifications. It would certainly be a good notebook if it was dependable. It is not. I have never had so much trouble with a computer. The operating system constantly gets corrupted. The computer freezes frequently resulting in a hard restarts which further corrupts the system. Sent it in to be looked at by Asus after informing them that I had reinstalled the operating system 5 times and thought either the motherboard or memory was bad. Also told them one of the USB ports was defective. All they did was reinstall the operating system. I had already done that 5 times in a matter of 3 weeks. They did not even test the hardware.

The display is not very good. Very bad viewing angles. Blacks are not black, but grey. Buttons are hard to click. Fingerprint device does not load when booting. The video card is very good, too bad the rest of the system is not well designed and components faulty. I may have to get with my credit card company on this one as Asus doesn't seem very interested in repairing it and I am ready to throw it in the garbage. Sony and Macintosh products are much superior, but don't offer such a great video card.

Overall, I would not recommend this notebook to anyone, unless you enjoy frustration. I have owned over 10 notebooks over the last 15 years or so, and this is the worst of the bunch. Stay away, look at Sony, Dell or Apple instead.

Added March 2010: Bought a Sony Vaio CW. Great computer. Now I can ditch this Asus N81 crap. No system corruption no matter what I install. This is how a computer should run. There has got to be an incompatibility with Windows and Asus software. Lesson learned: buy Apple or Sony.","['notebook base', 'great specification', 'good notebook', 'dependable trouble computer', 'corrupt computer', 'hard restart', 'corrupt system', 'system time', 'motherboard memory', 'usb port', 'defective reinstall', 'system time matter week test hardware display good', 'bad view angle', 'black black grey button', 'hard click fingerprint device load boot video card good', 'bad rest system design component faulty credit card company asus', 'garbage sony macintosh product', 'great video card overall', 'own notebook year', 'bad bunch stay', 'sony dell apple', 'sony vaio cw', 'great computer ditch asus crap system corruption matter install computer run', 'incompatibility windows asus software lesson', 'apple sony']"
"Why did I buy it: wanted a 13-14inch with good power, so found this with slightly positive reviews , warranty/insurance, very powerful, 14inch, good ventilation. Didn't get Dell studio 14z (price, too much heat, no dvd), sony vaio CW (price), HP DV4t (price if configured the same), DELL StudioXPS 13 (price, heat issues, battery duration,small touchpad)
have had it for 5 days so far ... Got it for [850$ from amazon] (could have gotten it for [...] if I used bing cashback and [...] )
Pros:
-Very powerful.. CPU , GPU , HDD (7200rpm).. it got 5.9 on windows experience index because of the HDD, the CPU/RAM gets 6.4 & GPU gets 6.6 .that's with win 7 64bit, it got as far as I remember ; 5.4 or 5.9 on the CPU with vista 32bit that came with it..
-Sooo cheap for such power
-Looks nice; not super nice, but nice..
-Very well ventilation design .. for all that power, it doesn't get hot.
-included mouse (not wireless) and bag...
-full array of ports ( including FIVE usb ports, that is amazing )
Cons:
when you have so much power, the input devices should be up to the same standard; they are not
-No backlit keyboard.. I know; I knew this before buying it; but when you get it and can't see the f1/f12 keys in the dark and can't see the WIFI / Bluetooth either ; not even the power button if it is not turned on ...

-FN key on left of CTRL key ... VERY VERY Stupid .. I already knew, but thought I can adapt; not yet..
-Horrible sounding and functioning touchpad buttons .. needs too much power to press and makes too much noise .. I already knew thru reviews but didn't appreciate how bad they are .. I honestly try to avoid using them ..
-Now the worst part; the left side of the keyboard is so flimsy that when pressing any of those keys (ESC,`,1,2,TAB,Q,W,A,S,CAPS,LT SHIFT, Z,LT CTRL,FN) it makes so much noise ... you won't appreciate how frustrating or annoying this is until you use it ... Same about trying to avoid using them, except u can't
-The DVD tray button is very difficult to press without directly looking at it ...
- the scrolling bar on the touchpad is a hit/miss, you have to press the line drawn on the touchpad exactly for it to work , and it keeps scrolling even after u remove your finger, u have to press it again like u r applying a brake .. STUPID DESIGN ..
- unresponsive keys: sometimes some keys don't respond to pressing them leading to too many typing errors ..
- poooor battery life, though it is understandable, but at least ASUS should offer a 9 cell option ...
update 12/29/09:
- f3,f4,f9 keys don't have labels for their other function ( default mail application, default browser, turn on/off touchpad in order)","['inch good power', 'positive review warranty insurance', 'powerful inch good ventilation dell studio price heat dvd sony vaio cw price hp dv price configure dell studioxps price heat issue battery duration', 'small touchpad day', 'powerful cpu gpu hdd rpm', 'windows experience index hdd cpu ram', 'cpu vista bit', 'cheap power look', 'ventilation design power', 'mouse wireless bag', 'full array port', 'usb port', 'amazing con power input device', 'backlit keyboard', 'dark wifi bluetooth power button', 'fn key', 'ctrl key stupid', 'adapt horrible', 'sound function touchpad button need power press', 'keyboard flimsy press key esc tab caps lt', 'lt ctrl fn', 'dvd tray button', 'difficult press', 'press line', 'finger press', 'brake stupid design', 'unresponsive key key', 'press lead type error poooor battery life', 'understandable asus', 'cell option update key label function default', 'application default browser', 'touchpad order']"
"I bought this laptop back in January because I needed something portable, yet with a little more punch than what I could normally find in this price group. It's got plenty of space and easily handles the programs I usually run at the same time--Explorer, OneNote, Outlook, Photoshop/Illustrator, Media Player. Six months later, it's still running well with no problems and I'm continually glad I made the purchase.

I also do some casual gaming with it, thanks to the Nvidia graphics card. Games like Dragon Age push it to it's limits, but it can still handle newer games. It has no trouble with anything older than that (unless there are compatibility issues between the game and Windows 7.

I plan on using this laptop as I return to graduate school and feel like it's size, weight, and speed will work well for me to use it mainly for work, and a bit of entertainment on the side.

My chief complaints, which keep me from giving it 5 stars, are that it doesn't have separate media buttons for changing the volume (though this can be done by holding the function key and hitting F11 or F12), it's lack of various video output ports, and that the speakers distort when turned up all the way. Maybe it's not the best choice for one looking for a machine dedicated primarily to entertainment, but that doesn't mean you can't enjoy some light gaming or movies with it.","['laptop january need', 'portable little punch', 'price group', 'plenty space', 'time explorer onenote outlook photoshop illustrator media player month', 'run problem', 'glad purchase casual', 'nvidia graphic card game', 'dragon age', 'new game trouble', 'old compatibility issue game windows plan laptop return graduate school', 'size weight speed work use', 'work bit entertainment chief complaint', 'separate medium button', 'volume hold function key', 'lack video output port speaker distort', 'good choice look machine dedicate']"
"Let me start by saying that I love my laptop. I had desktops all my life, so this was my first laptop. I did a LOT of research before choosing the ASUS K50IJ-D2 15.6-Inch model, and for the price I can easily say that it was well worth it. I find this laptop a good size for me. If you are looking for a super-thin and ultra-light laptop like a Macbook Air, this isn't the product for you. If you're looking for a dependable and quality laptop for usage mainly within the home, it will probably be a good fit.

My one main issue with this laptop is the sound - loudness and quality is terrible! If you plan on watching videos or playing music, you will need an external sound system to bump up the volume (or headphones).

Also good to know about is the internal microphone - I didn't realize that there was one (and that I wouldn't need to set anything up for it), and it sure came in handy when I installed my Rosetta Stone programs and was able to do the pronunciation parts just by talking in a regular voice - microphone really picks up the sound.","['laptop desktop life laptop lot research', 'asus ij inch model price', 'laptop good size look', 'super thin ultra', 'light laptop', 'macbook air product look', 'dependable quality laptop usage', 'good fit main issue laptop', 'sound loudness quality terrible plan', 'video play music need external', 'sound system bump volume headphone good', 'internal microphone', 'handy instal rosetta stone program', 'able pronunciation part talk', 'regular voice microphone']"
"For the price I think this laptop is pretty decent.  You get all the bells and whistles you could possibly want for only a hundred dollars more than the older model without a blue-ray player, not as good graphics card, less memory, etc.

My only complaint is with the touchpad, although this complaint can cause some headaches.  First off the location and style of the touch pad is pretty bad.  Because it isn't a different color from the rest of the case and the indentation is not very deep, its really easy to not truely know your on it unless you actively concentrate on where your finger is, so it's a lot less natural than other touch pads.  Secondly the location is horrible.  When I type with the keyboard i fairly often bump the touchpad with my left-hand palm, which causes the mouse to click occasionally.  If I'm in a word processor or web browser this can be extremely aggravating as I can change web pages or where I am typing if the cursor is at those areas.

Thirdly, either the software or the sensor is not the greatest.  About 10% of the time my clicks don't register or moving across the screen registers as a click.  I'm hoping once i get time to find any updated drivers for the touchpad (whose website I tried but wasn't working when I looked this weekend) will fix this, otherwise it's gonna be a long 4 years before I get a new computer.

UPDATE:  After a little over a year old, this laptop's graphics card started failing, and this caused a month+ long odyssy to get it fixed by ASUS under warrenty.  Because of this debacle, I will never by an ASUS product again. Read more below.

This experience report isn't about this exact model, but a similar one for which I have had a terrible experience with ASUS technical support, and so potential buyers of any ASUS computer should be well-aware in order to know what their experience might be. The summary is for a simple bad graphics card (under warranty), getting the computer back in working condition involved a 5-week ordeal, 6 emails to them, 5 phone calls, misleading information almost making me pay for repairs, and them wiping my hard drive in my opinion unnecessarily. All this means I will never buy an ASUS laptop again, and you shouldn't either. For the details, read on.

About 7 months ago, I started noticing a flicker of the laptop's screen about 1 time a day. I emailed ASUS tech support using their message center about it, and asked what I should do. Aside from an automated ""we have your message"""" email","['pretty decent bell whistle', 'old model', 'blue ray player good graphic card memory etc complaint touchpad complaint', 'headache location style touch', 'pretty bad different color rest case indentation', 'finger lot', 'natural touch', 'location horrible type keyboard', 'bump touchpad', 'hand palm', 'mouse click', 'word processor web browser', 'web page type cursor area', 'software sensor', 'great time click register', 'screen register click hope time', 'update driver touchpad website', 'work look weekend fix', 'long year', 'new computer update', 'old laptop graphic card', 'long odyssy fix asus warrenty debacle asus product', 'experience report', 'exact model', 'similar terrible experience asus', 'technical support potential buyer asus computer', 'aware order', 'experience summary', 'simple bad graphic card warranty', 'week ordeal email phone', 'mislead information', 'repair wipe', 'hard drive opinion', 'asus laptop detail', 'notice flicker laptop screen time day email asus tech support message center', 'automate message email']"
"I bought this so I could use a laptop when I'm away from my desktop.  It was one of the few really small, affordable laptop computers that runs Win 7 Professional, which I need for access to my employer's network.  It's no speed demon, and the hard drive is a bit smaller than I would like, but it works.  What I discovered is that the computer works well enough that I use it at home more than I expected.  If I want to browse the web or do email or do simple picture editing I can carry the ASUS into a quiet part of the house and work in peace.
The build quality is good, though this is not an industrial strength device that will take a huge beating.  I don't know if the keyboard would hold up to long hours of daily use.  This notebook PC probably won't take the place of your desktop but it works well.  Mine has been reliable so far.  The only real complaints so far:  The short/wide screen is not ideal for viewing some web pages, and the small screen yields fairly small text size on many pages.
Despite those minor issues, it is nearly perfect for what I wanted.","['small affordable laptop computer run', 'professional need access employer network speed demon', 'hard drive bit', 'computer work use home', 'browse web email', 'simple picture edit', 'quiet house work peace', 'quality good', 'industrial strength device', 'keyboard hold', 'long hour', 'notebook pc', 'place desktop work', 'real complaint', 'short wide screen', 'ideal view web page', 'small screen yield', 'small text size page', 'minor issue']"
"This laptop is snappy and solid.  Feels good to use and is a generally great laptop.  The only problem I had was one that not many people will run into: I needed to hook an extra large monitor to the external VGA port.  I did so, and it would not recognize the PNP monitor as a PNP monitor, but instead labeled it as NON-PNP Generic.  This limits the resolutions available to the monitor.  I tried several different monitors (normal sized and large, and they all had the same result.  None of them registered as plug and play.
I contacted ASUS, as this was clearly an OS or Hardware issue, both of which would fall under their abilities to fix.  They told me that the large monitor was outside what the driver supported.  This was clearly incorrect as the issue had nothing to do with the size of the monitor (as proven by using smaller monitors).  The first tech used every excuse he could think of not to work on the system including saying that the support of this laptop's hardware was not their problem.  At this point I asked that the problem be escalated or that I could talk to his manager.  He would do neither, but suggested that I call back and talk to someone else.  I did.
The next tech looked over the notes left by the other tech and said that he was not able to escalate the call either as the criteria did not match the requirements for escalations in their system.  A little more honest.  He did say, however, that if I sent the laptop back to them that they would take a look at this and get it resolved.  I needed the laptop for that weekend, but at least he finally supplied me a path to resolution.  The second tech was more pleasant, and slightly more helpful, but generally felt like he had his hands tied.
The ASUS support was not what I have come to expect from professional support from other vendors.
Their product might be great, but I would not recommend their product due their support.","['laptop snappy', 'good use', 'great laptop problem people', 'need hook', 'extra large monitor external vga port', 'pnp monitor pnp monitor', 'label non pnp generic limit resolution', 'available monitor', 'different monitor', 'large result register plug play contact asus', 'os hardware issue fall ability fix', 'large monitor', 'driver support', 'incorrect issue size monitor', 'small monitor tech excuse', 'work system', 'support laptop hardware problem point', 'problem escalate talk manager', 'tech look note', 'able escalate criterion', 'requirement escalation system', 'laptop look', 'need laptop weekend', 'path resolution', 'tech pleasant', 'hand tie asus support', 'professional support vendor product', 'product support']"
